CollectionCode	HMS	StructuredFormula	StructureType	Authors	CellParameter	CellVolume	Temperature	Pressure	PublicationYear	Quality	
258743	R -3 c H	(La0.65 Eu0.05 Sr0.3) (Mn O3.007)	LaAlO3	Bellouz, Ridha; Oumezzine, Marwene; Dinia, Aziz; Schmerber, Guy; Hlil, El-Kebir; Oumezzine, Mohamed	5.513(2) 5.513(2) 13.3833(1) 90. 90. 120.	352.27	293.00	0.101325	2015	10	
258744	R -3 c H	(La0.65 Eu0.05 Sr0.2) (Mn O3.098)	LaAlO3	Bellouz, Ridha; Oumezzine, Marwene; Dinia, Aziz; Schmerber, Guy; Hlil, El-Kebir; Oumezzine, Mohamed	5.5135(3) 5.5135(3) 13.3844(2) 90. 90. 120.	352.35	293.00	0.101325	2015	10	
258745	R -3 c H	(La0.65 Eu0.05 Sr0.15) (Mn O3.134)	LaAlO3	Bellouz, Ridha; Oumezzine, Marwene; Dinia, Aziz; Schmerber, Guy; Hlil, El-Kebir; Oumezzine, Mohamed	5.5266(2) 5.5266(2) 13.3927(1) 90. 90. 120.	354.25	293.00	0.101325	2015	10	
258930	R -3 c H	La0.7 Sr0.3 Mn0.85 Nb0.15 O3	LaAlO3	Troyanchuk, I.O.; Bushinsky, M.V.; Efimov, V.; Schorr, S.; Ritter, C.; Sikolenko, V.	5.564(4) 5.564(4) 13.524(6) 90. 90. 120.	362.58	300.00	0.101325	2015	10	
258933	R -3 c H	La0.7 Sr0.3 Mn0.85 Mg0.15 O3	LaAlO3	Troyanchuk, I.O.; Bushinsky, M.V.; Efimov, V.; Schorr, S.; Ritter, C.; Sikolenko, V.	5.493(5) 5.493(5) 13.297(1) 90. 90. 120.	347.46	10.00	0.101325	2015	10	
258934	R -3 c H	La0.7 Sr0.3 Mn0.85 Mg0.15 O3	LaAlO3	Troyanchuk, I.O.; Bushinsky, M.V.; Efimov, V.; Schorr, S.; Ritter, C.; Sikolenko, V.	5.499(2) 5.499(2) 13.338(2) 90. 90. 120.	349.29	300.00	0.101325	2015	10	
259105	P -3 m 1	Cu2.826 Mn1.174 (O H)5.900 Cl2.100		Nishio-Hamane, D.; Momma, K.; Ohnishi, M.; Shimobayashi, N.; Miyawaki, R.; Tomita, N.; Okuma, R.; Kampf, A.R.; Minakawa, T.	6.4168(4) 6.4168(4) 5.7099(4) 90. 90. 120.	203.61	293.00	0.101325	2017	10	
259308	R -3 m H	Li1.21 Ni0.27 Co0.13 Mn0.39 O2	α−NaFeO2	Pang, Wei Kong; Lin, Hsiu-Fen; Peterson, Vanessa K.; Lu, Cheng-Zhang; Liu, Chia-Erh; Liao, Shih-Chieh; Chen, Jin-Ming	2.8600(5) 2.8600(5) 14.254(1) 90. 90. 120.	100.97	293.00	0.101325	2017	10	
259780	R -3 c H	La0.6 Pr0.1 Sr0.3 Mn O3	LaAlO3	Zaidi, N.; Mnefgui, S.; Dhahri, J.; Hlil, E.K.	5.4979(2) 5.4979(2) 13.4607(4) 90. 90. 120.	352.36	293.00	0.101325	2017	10	
264762	R -3 m H	Li (Li0.2 Ni0.18 Co0.03 Mn0.58) O2	α−NaFeO2	Nomura, Fumihiro; Liu, Yubin; Tanabe, Toyokazu; Tamura, Naoki; Tsuda, Takashi; Hagiwara, Takeshi; Gunji, Takao; Ohsaka, Takeo; Matsumoto, Futoshi	2.859(4) 2.859(4) 14.25(1) 90. 90. 120.	100.87	293.00	0.101325	2018	10	
