CollectionCode	HMS	StructuredFormula	StructureType	Authors	CellParameter	CellVolume	Temperature	Pressure	PublicationYear	Quality	
70661	P m -3 m	(Bi0.97 Y0.03) (Fe0.95 Mn0.05) O3	CaTiO3	Irandoust, Rozhin; Gholizadeh, Ahmad	3.954(7) 3.954(7) 3.954(7) 90. 90. 90.	61.82	293.00	0.101325	2020	-1	
125324	P m -3 m	Ca0.95 La0.05 Fe0.5 Mn0.5 O3	CaTiO3	Selmi, R.; Cherif, W.; Khammassi, F.; Sarabando, A.R.; Ferreira, N.M.	3.77848 3.77848 3.77848 90. 90. 90.	53.95	293.00	0.101325	2022	-1	
125325	P m -3 m	Ca0.90 La0.1 Fe0.5 Mn0.5 O3	CaTiO3	Selmi, R.; Cherif, W.; Khammassi, F.; Sarabando, A.R.; Ferreira, N.M.	3.77647 3.77647 3.77647 90. 90. 90.	53.86	293.00	0.101325	2022	-1	
125326	P m -3 m	Ca0.85 La0.15 Fe0.5 Mn0.5 O3	CaTiO3	Selmi, R.; Cherif, W.; Khammassi, F.; Sarabando, A.R.; Ferreira, N.M.	3.78258 3.78258 3.78258 90. 90. 90.	54.12	293.00	0.101325	2022	-1	
185589	P m -3 m	((Sr1.75 Bi0.25) ((Mn Ti) O6))0.5	CaTiO3	Alvarez Serrano, I.; Lopez, M.L.; Rubio, F.; Garcia Hernandez, M.; Cuello, G.J.; Pico, C.; Veiga, M.L.	3.8702(1) 3.8702(1) 3.8702(1) 90. 90. 90.	57.97	298.00	0.101325	2012	-1	
185590	P m -3 m	((Sr1.5 Bi0.5) ((Mn Ti) O6))0.5	CaTiO3	Alvarez Serrano, I.; Lopez, M.L.; Rubio, F.; Garcia Hernandez, M.; Cuello, G.J.; Pico, C.; Veiga, M.L.	3.8946(4) 3.8946(4) 3.8946(4) 90. 90. 90.	59.07	298.00	0.101325	2012	-1	
185591	P m -3 m	((Sr1.25 Bi0.75) ((Mn Ti) O6))0.5	CaTiO3	Alvarez Serrano, I.; Lopez, M.L.; Rubio, F.; Garcia Hernandez, M.; Cuello, G.J.; Pico, C.; Veiga, M.L.	3.9133(1) 3.9133(1) 3.9133(1) 90. 90. 90.	59.93	298.00	0.101325	2012	-1	
185592	P m -3 m	((Sr1.75 Bi0.25) ((Mn Ti) O6))0.5	CaTiO3	Alvarez Serrano, I.; Lopez, M.L.; Rubio, F.; Garcia Hernandez, M.; Cuello, G.J.; Pico, C.; Veiga, M.L.	3.8734(2) 3.8734(2) 3.8734(2) 90. 90. 90.	58.11	298.00	0.101325	2012	-1	
185593	P m -3 m	((Sr1.5 Bi0.5) ((Mn Ti) O6))0.5	CaTiO3	Alvarez Serrano, I.; Lopez, M.L.; Rubio, F.; Garcia Hernandez, M.; Cuello, G.J.; Pico, C.; Veiga, M.L.	3.8982(1) 3.8982(1) 3.8982(1) 90. 90. 90.	59.24	298.00	0.101325	2012	-1	
185846	P m -3 m	(La0.67 Ba0.33) (Mn0.85 Cr0.15 O3)	CaTiO3	Oumezzine, Ma.; Pena, O.; Kallel, S.; Guoizouarn, T.; Oumezzine, Mo.	3.9165(4) 3.9165(4) 3.9165(4) 90. 90. 90.	60.08	293.00	0.101325	2012	-1	
189040	P m -3 m	(La0.67 Ba0.33) (Mn0.95 Ti0.05) O3	CaTiO3	Zainuddin, Zalita; Shaari, Abdul Halim	3.913(8) 3.913(8) 3.913(8) 90. 90. 90.	59.91	293.00	0.101325	2012	-1	
189041	P m -3 m	(La0.67 Ba0.33) (Mn0.85 Ti0.15) O3	CaTiO3	Zainuddin, Zalita; Shaari, Abdul Halim	3.926(6) 3.926(6) 3.926(6) 90. 90. 90.	60.51	293.00	0.101325	2012	-1	
189042	P m -3 m	(La0.67 Ba0.33) (Mn0.6 Ti0.4) O3	CaTiO3	Zainuddin, Zalita; Shaari, Abdul Halim	3.949(4) 3.949(4) 3.949(4) 90. 90. 90.	61.58	293.00	0.101325	2012	-1	
189043	P m -3 m	(La0.67 Ba0.33) (Mn0.4 Ti0.6) O3	CaTiO3	Zainuddin, Zalita; Shaari, Abdul Halim	3.945(14) 3.945(14) 3.945(14) 90. 90. 90.	61.40	293.00	0.101325	2012	-1	
191334	P m -3 m	(La0.5 Pr0.2 Pb0.3) (Mn O3)	CaTiO3	Craus, M.-L.; Islamov, A.Kh.; Anitas, E.M.; Cornei, N.; Luca, D.	3.880 3.880 3.880 90. 90. 90.	58.41	293.00	0.101325	2014	-1	
192896	P m -3 m	(La0.65 Ca0.10 Ba0.25) (Mn O3)	CaTiO3	Manjunatha, S.O.; Rao, Ashok; Lin, T.Y.; Chang, C.M.; Kuo, Y.K.	3.8805 3.8805 3.8805 90. 90. 90.	58.43	293.00	0.101325	2015	-1	
195485	P m -3 m	(Sr0.5 Bi0.5) (Mn0.5 Ti0.5) O3	CaTiO3	Yao, Chuangang; Meng, Fanzhi; Liu, Xiaojuan; Han, Lin; Meng, Junling; Liang, Qingshuang; Meng, Jian	3.918(4) 3.918(4) 3.918(4) 90. 90. 90.	60.14	293.00	0.101325	2014	-1	
201007	P m -3 m	Sr0.5 La0.5 Fe0.5 Mn0.5 O3	CaTiO3	Kumari, Divya; Singh, Digvijay Narayan; Chowdhury, Sourav; Shamim, Md.K.; Choudhary, R.J.; Sharma, Seema	3.8906 3.8906 3.8906 90. 90. 90.	58.89	293.00	0.101325	2024	-1	
234580	P m -3 m	(Nd0.5 Ba0.5) (Fe0.5 Mn0.5) O3	CaTiO3	Gilev, A.R.; Hossain, A.; Kiselev, E.A.; Korona, D.V.; Cherepanov, V.A.	3.89824(7) 3.89824(7) 3.89824(7) 90. 90. 90.	59.24	293.00	0.101325	2019	-1	
238372	P m -3 m	(La0.8 Ba0.15 Ca0.05) (Mn O3)	CaTiO3	Manjunatha, S.O.; Rao, Ashok; Subhashini; Okram, G.S.	3.879 3.879 3.879 90. 90. 90.	58.37	293.00	0.101325	2015	-1	
244025	P m -3 m	(La0.33 Sr0.67) (Mn0.33 Ti0.67) O3	CaTiO3	Tlili, Dhahbi; Hcini, Sobhi; Triki, Asma; Khadraoui, Salha; Zemni, Sadok; Oumezzine, Mohamed	3.9194(4) 3.9194(4) 3.9194(4) 90. 90. 90.	60.21	293.00	0.101325	2016	-1	
246981	P m -3 m	(Sr0.8 Ca0.1 Nd0.1) Mn O3	CaTiO3	Kennedy, B.J.; Saines, P.J.; Ting, J.; Zhou Qing Di; Kimpton, J.A.	3.8065(1) 3.8065(1) 3.8065(1) 90. 90. 90.	55.15	293.00	0.101325	2009	-1	
247868	P m -3 m	(Sr0.75 Y0.25) (Fe0.8 Mn0.2) O2.79	CaTiO3	Biendicho, J.J.; Shafeie, S.; Frenck, L.; Gavrilova, D.; Boehme, S.; Bettanini, A.M.; Svedlindh, P.; Hull, S.; Zhao, Z.; Istomin, S.Ya.; Grins, J.; Svensson, G.	3.8570 3.8570 3.8570 90. 90. 90.	57.38	293.00	0.101325	2013	-1	
247871	P m -3 m	(Sr0.75 Y0.25) (Fe0.67 Mn0.33) O2.79	CaTiO3	Biendicho, J.J.; Shafeie, S.; Frenck, L.; Gavrilova, D.; Boehme, S.; Bettanini, A.M.; Svedlindh, P.; Hull, S.; Zhao, Z.; Istomin, S.Ya.; Grins, J.; Svensson, G.	3.8477 3.8477 3.8477 90. 90. 90.	56.96	293.00	0.101325	2013	-1	
247874	P m -3 m	(Sr0.75 Y0.25) (Fe0.5 Mn0.5) O2.79	CaTiO3	Biendicho, J.J.; Shafeie, S.; Frenck, L.; Gavrilova, D.; Boehme, S.; Bettanini, A.M.; Svedlindh, P.; Hull, S.; Zhao, Z.; Istomin, S.Ya.; Grins, J.; Svensson, G.	3.8349 3.8349 3.8349 90. 90. 90.	56.40	293.00	0.101325	2013	-1	
247877	P m -3 m	(Sr0.75 Y0.25) (Fe0.8 Mn0.2) O2.79	CaTiO3	Biendicho, J.J.; Shafeie, S.; Frenck, L.; Gavrilova, D.; Boehme, S.; Bettanini, A.M.; Svedlindh, P.; Hull, S.; Zhao, Z.; Istomin, S.Ya.; Grins, J.; Svensson, G.	3.8803 3.8803 3.8803 90. 90. 90.	58.42	293.00	0.101325	2013	-1	
247880	P m -3 m	(Sr0.75 Y0.25) (Fe0.67 Mn0.33) O2.79	CaTiO3	Biendicho, J.J.; Shafeie, S.; Frenck, L.; Gavrilova, D.; Boehme, S.; Bettanini, A.M.; Svedlindh, P.; Hull, S.; Zhao, Z.; Istomin, S.Ya.; Grins, J.; Svensson, G.	3.8765 3.8765 3.8765 90. 90. 90.	58.25	293.00	0.101325	2013	-1	
