CollectionCode	HMS	StructuredFormula	StructureType	Authors	CellParameter	CellVolume	Temperature	Pressure	PublicationYear	Quality	
92948	P n m a	(La0.25 Pr0.75)0.7 Ca0.3 (Mn O3)	GdFeO3	Balagurov, A.M.; Pomjakushin, V.Yu.; Sheptyakov, D.V.; Aksenov, V.L.; Babushkina, N.A.; Belova, L.M.; Gorbenko, O.Yu.; Kaul, A.R.	5.45657(7) 7.69294(9) 5.44788(8) 90 90 90	228.69	293.00	0.101325	2001	10	
92949	P n m a	(La0.25 Pr0.75)0.7 Ca0.3 (Mn O3)	GdFeO3	Balagurov, A.M.; Pomjakushin, V.Yu.; Sheptyakov, D.V.; Aksenov, V.L.; Babushkina, N.A.; Belova, L.M.; Gorbenko, O.Yu.; Kaul, A.R.	5.44805(7) 7.67918(9) 5.43869(8) 90 90 90	227.54	15.00	0.101325	2001	10	
92950	P n m a	(La0.25 Pr0.75)0.7 Ca0.3 (Mn O3)	GdFeO3	Balagurov, A.M.; Pomjakushin, V.Yu.; Sheptyakov, D.V.; Aksenov, V.L.; Babushkina, N.A.; Belova, L.M.; Gorbenko, O.Yu.; Kaul, A.R.	5.45673(6) 7.69315(8) 5.44786(7) 90 90 90	228.70	293.00	0.101325	2001	10	
92951	P n m a	(La0.25 Pr0.75)0.7 Ca0.3 (Mn O3)	GdFeO3	Balagurov, A.M.; Pomjakushin, V.Yu.; Sheptyakov, D.V.; Aksenov, V.L.; Babushkina, N.A.; Belova, L.M.; Gorbenko, O.Yu.; Kaul, A.R.	5.44797(6) 7.69054(8) 5.43945(7) 90 90 90	227.90	15.00	0.101325	2001	10	
93011	P b n m	(La0.6 Sr0.1 Ca0.3) (Mn O3)	GdFeO3	Liu, R.-S.; Shen, C.H.; Hu, S.F.	5.4527(1) 5.4814(1) 7.6976(2) 90 90 90	230.07	293.00	0.101325	2001	10	
93365	P b n m	(Nd1.33 Na0.66) (Mn0.66 Ti1.34) O6	GdFeO3	Martin, P.; Lopez, M.L.; Ruiz, A.I.; Veiga, M.L.; Pico, C.	5.438(8) 5.457(7) 7.680(9) 90 90 90	227.91	293.00	0.101325	2001	10	
93366	P b n m	Nd1.33 Na0.66 Mn0.66 Ti1.34 O6	GdFeO3	Martin, P.; Lopez, M.L.; Ruiz, A.I.; Veiga, M.L.; Pico, C.	5.456(8) 5.484(9) 7.702(5) 90 90 90	230.45	293.00	0.101325	2001	10	
93496	I m m a	La Ba In Mn O6	BaPbO3(oI20)	Battle, P.D.; Coldea, A.I.; Jordan, N.A.; Rosseinsky, M.J.; Singleton, J.	5.6944(3) 8.0548(4) 5.6826(3) 90 90 90	260.65	293.00	0.101325	2001	10	
93497	I m m a	(La1.2 Ba0.8) In Mn O6	BaPbO3(oI20)	Battle, P.D.; Coldea, A.I.; Jordan, N.A.; Rosseinsky, M.J.; Singleton, J.	5.6686(2) 8.0397(4) 5.6860(3) 90 90 90	259.13	293.00	0.101325	2001	10	
93498	P n m a	(La1.2 Sr0.8) In Mn O6	GdFeO3	Battle, P.D.; Coldea, A.I.; Jordan, N.A.; Rosseinsky, M.J.; Singleton, J.	5.6387(2) 7.9664(3) 5.6460(2) 90 90 90	253.62	293.00	0.101325	2001	10	
93850	P b n m	(Pr1.333 Na0.667) (Mn0.667 Ti1.333) O6	GdFeO3	Martin, P.; Ruiz, A.I.; Campo, J.; Lopez, M.L.; Veiga, M.L.; Pico, C.	5.4539(6) 5.4490(3) 7.6944(3) 90 90 90	228.66	293.00	0.101325	2001	10	
