HMS,StructuredFormula,Temperature,Pressure,crystal_system,StructuredFormula_normalized
I 4/m m m,(Sr Nd) (Co0.5 Mn0.5) O4,300.0,0.101325,tetragonal,(SrNd)(Co0.5Mn0.5)O4
I 4/m c m,(La0.5 Sr0.5) ((Mn0.99 Cu0.01) O3),293.0,0.101325,tetragonal,(La0.5Sr0.5)((Mn0.99Cu0.01)O3)
I 4/m c m,(La0.5 Sr0.5) ((Mn0.98 Cu0.02) O3),293.0,0.101325,tetragonal,(La0.5Sr0.5)((Mn0.98Cu0.02)O3)
I 4/m c m,(La0.5 Sr0.5) ((Mn0.97 Cu0.03) O3),293.0,0.101325,tetragonal,(La0.5Sr0.5)((Mn0.97Cu0.03)O3)
I 4/m c m,(La0.5 Sr0.5) ((Mn0.96 Cu0.04) O3),293.0,0.101325,tetragonal,(La0.5Sr0.5)((Mn0.96Cu0.04)O3)
I 4/m c m,(La0.5 Sr0.5) ((Mn0.95 Cu0.05) O3),293.0,0.101325,tetragonal,(La0.5Sr0.5)((Mn0.95Cu0.05)O3)
I 4/m c m,(La0.5 Sr0.5) ((Mn0.94 Cu0.06) O3),293.0,0.101325,tetragonal,(La0.5Sr0.5)((Mn0.94Cu0.06)O3)
I 4/m c m,(La0.5 Sr0.5) ((Mn0.93 Cu0.07) O3),293.0,0.101325,tetragonal,(La0.5Sr0.5)((Mn0.93Cu0.07)O3)
I 4/m c m,(La0.5 Sr0.5) ((Mn0.92 Cu0.08) O3),293.0,0.101325,tetragonal,(La0.5Sr0.5)((Mn0.92Cu0.08)O3)
I 4/m c m,(La0.5 Sr0.5) ((Mn0.91 Cu0.09) O3),293.0,0.101325,tetragonal,(La0.5Sr0.5)((Mn0.91Cu0.09)O3)
I 4/m c m,(La0.5 Sr0.5) ((Mn0.9 Cu0.1) O3),298.0,0.101325,tetragonal,(La0.5Sr0.5)((Mn0.9Cu0.1)O3)
I 4/m m m,La1.2 (Sr0.8 Ca0.2)1.8 (Mn2 O7),300.0,0.101325,tetragonal,La1.2(Sr0.8Ca0.2)1.8(Mn2O7)
I 4/m m m,La1.2 (Sr0.6 Ca0.4)1.8 (Mn2 O7),300.0,0.101325,tetragonal,La1.2(Sr0.6Ca0.4)1.8(Mn2O7)
I 4/m m m,(La0.8 Nd0.2)1.2 Sr1.8 Mn2 O7,300.0,0.101325,tetragonal,(La0.8Nd0.2)1.2Sr1.8Mn2O7
I 4/m m m,(La0.6 Nd0.4)1.2 Sr1.8 Mn2 O7,300.0,0.101325,tetragonal,(La0.6Nd0.4)1.2Sr1.8Mn2O7
P 42/m b c,Pb Bi Fe0.95 Mn0.05 O4,293.0,0.101325,tetragonal,PbBiFe0.95Mn0.05O4
P 42/m b c,Pb Bi Fe0.9 Mn0.1 O4,293.0,0.101325,tetragonal,PbBiFe0.9Mn0.1O4
P 42/m b c,Pb Bi Fe0.85 Mn0.15 O4,293.0,0.101325,tetragonal,PbBiFe0.85Mn0.15O4
I 4/m m m,(La1.4 Sr Ca0.6) Mn2 O7,293.0,0.101325,tetragonal,(La1.4SrCa0.6)Mn2O7
I 4/m m m,(La1.2 Sr Ca0.8) Mn2 O7,293.0,0.101325,tetragonal,(La1.2SrCa0.8)Mn2O7
I 4/m m m,(La Sr Ca) Mn2 O7,293.0,0.101325,tetragonal,(LaSrCa)Mn2O7
I 4/m m m,(La0.8 Sr Ca1.2) Mn2 O7,293.0,0.101325,tetragonal,(La0.8SrCa1.2)Mn2O7
I 4/m,Sr2 (Fe0.60 Mn0.25 Mo0.15) ((Mo0.85 Fe0.15) O6),300.0,0.101325,tetragonal,Sr2(Fe0.60Mn0.25Mo0.15)((Mo0.85Fe0.15)O6)
P 42/n m c Z,Na Sm Mn2 Ti4 O12,295.0,0.101325,tetragonal,NaSmMn2Ti4O12
P 42/n m c Z,Na Eu Mn2 Ti4 O12,295.0,0.101325,tetragonal,NaEuMn2Ti4O12
P 42/n m c Z,Na Gd Mn2 Ti4 O12,295.0,0.101325,tetragonal,NaGdMn2Ti4O12
P 42/n m c Z,Na Dy Mn2 Ti4 O12,295.0,0.101325,tetragonal,NaDyMn2Ti4O12
