CollectionCode	HMS	StructuredFormula	StructureType	Authors	CellParameter	CellVolume	Temperature	Pressure	PublicationYear	Quality	
259163	P 63/m m c	Na0.67 (Mn0.66 Fe0.2 Cu0.14) O2	NaxCoO2	Talaie, Elahe; Kim, Se Young; Chen, Ning; Nazar, Linda F.	2.9280(2) 2.9280(2) 11.1800(2) 90. 90. 120.	83.01	293.00	0.101325	2017	10	
291156	P 63/m m c	Na0.706 Mn0.65 Co0.18 Ni0.17 O2	NaxCoO2	Kataoka, Riki; Mukai, Takashi; Yoshizawa, Akihiro; Inoue, Kenshi; Kiyobayashi, Tetsu; Sakai, Tetsuo	2.8633(10) 2.8633(10) 11.12504(18) 90. 90. 120.	78.99	293.00	0.101325	2015	10	
404298	P 63/m	(Cu0.5 Mn0.5) U Mo3 O12	CdTh(MoO4)3	Sedello, O.; Müller-Buschbaum, Hk.	9.7895(13) 9.7895(13) 6.2021(10) 90. 90. 120.	514.74	293.00	0.101325	1996	10	
410717	P 63/m	Pb Mn2 (Ni6 Te3 O18)	PbMn2(Ni6Te3O18)	Wedel, B.; Sugiyama, K.; Hiraga, K.; Itagaki, K.	9.2936(10) 9.2936(10) 8.8229(13) 90. 90. 120.	659.95	298.00	0.101325	1999	10	
433357	P 63 m c	Ba Ca Fe2 Mn2 O7	NaBe4SbO7	Valldor, Martin; Yadav, Ravi; Hozoi, Liviu; Brink, Jeroen van den; Maljuk, Andrey; Werner, Jochen; Scaravaggi, Francesco; Wolter, Anja U.B.; Buechner, Bernd	6.40996(10) 6.40996(10) 10.3752(2) 90 90 120	369.18	293.00	0.101325	2017	10	
14973	P 63/m m c	Na0.561 Li0.24 Mn0.66 Ti0.1 O1.994	NaxCoO2	Li, Chao; Zhao, Chong; Hu, Bei; Tong, Wei; Shen, Ming; Hu, Bingwen	2.86955 2.86955 11.11023 90. 90. 120.	79.23	293.00	0.101325	2020	-1	
14974	P 63/m m c	Na0.639 Li0.24 Mn0.71 Ti0.05 O1.964	NaxCoO2	Li, Chao; Zhao, Chong; Hu, Bei; Tong, Wei; Shen, Ming; Hu, Bingwen	2.86918 2.86918 11.03787 90. 90. 120.	78.69	293.00	0.101325	2020	-1	
14975	P 63/m m c	Na0.602 Li0.24 Mn0.56 Ti0.2 O1.923	NaxCoO2	Li, Chao; Zhao, Chong; Hu, Bei; Tong, Wei; Shen, Ming; Hu, Bingwen	2.87920 2.87920 11.07176 90. 90. 120.	79.49	293.00	0.101325	2020	-1	
19136	P 63/m m c	Na0.85 Li0.12 Ni0.22 Mn0.66 O2	NaxCoO2	Jin, Ting; Wang, Peng‐Fei; Wang, Qin‐Chao; Zhu, Kunjie; Deng, Tao; Zhang, Jiaxun; Zhang, Wei; Yang, Xiao‐Qing; Jiao, Lifang; Wang, Chunsheng	2.889(8) 2.889(8) 11.010(4) 90. 90. 120.	79.58	293.00	0.101325	2020	-1	
20134	P 6 c c	K Zn3 Mn2 Si12 O30		Pushcharovskii, D.Yu.; Naatarin, T.; Pobedimskaya, E.A.; Belov, N.V.	10.52(3) 10.52(3) 14.22(4) 90. 90. 120.	1362.89	293.00	0.101325	1971	-1	
34456	P 63/m m c	Na0.8 Li0.27 Mn0.68 Ti0.05 O1.97	NaxCoO2	Hu, Bei; Geng, Fushan; Zhao, Chong; Doumert, Bertrand; Trebosc, Julien; Lafon, Olivier; Li, Chao; Shen, Ming; Hu, Bingwen	2.87413 2.87413 11.02296 90. 90. 120.	78.86	293.00	0.101325	2020	-1	
36990	P 63/m m c	Na0.69 Mn0.87 Fe0.08 Mg0.05 O2	NaxCoO2	Su, Chang; Liu, Guoqiang; Gao, Yibo; Zhang, Yixuan; Wen, Lei	2.8833 2.8833 11.2337 90. 90. 120.	80.88	293.00	0.101325	2021	-1	
36991	P 63/m m c	Na0.69 Mn0.82 Fe0.08 Mg0.1 O2	NaxCoO2	Su, Chang; Liu, Guoqiang; Gao, Yibo; Zhang, Yixuan; Wen, Lei	2.8834 2.8834 11.2432 90. 90. 120.	80.95	293.00	0.101325	2021	-1	
36992	P 63/m m c	Na0.69 Mn0.77 Fe0.08 Mg0.15 O2	NaxCoO2	Su, Chang; Liu, Guoqiang; Gao, Yibo; Zhang, Yixuan; Wen, Lei	2.8906 2.8906 11.2657 90. 90. 120.	81.52	293.00	0.101325	2021	-1	
45924	P 63/m m c	Na0.67 Mn0.7 Ni0.2 Mg0.1 O2	NaxCoO2	Su, Shilin; Bai, Xiaoyu; Ming, Lei; Xiao, Zhiming; Wang, Chunhui; Zhang, Bao; Cheng, Liao; Ou, Xing	2.883(1) 2.883(1) 11.208(1) 90. 90. 120.	80.68	293.00	0.101325	2022	-1	
45926	P 63/m m c	Na0.67 Mn0.7 Ni0.2 Mg0.1 O2	NaxCoO2	Su, Shilin; Bai, Xiaoyu; Ming, Lei; Xiao, Zhiming; Wang, Chunhui; Zhang, Bao; Cheng, Liao; Ou, Xing	2.872(9) 2.872(9) 11.191(6) 90. 90. 120.	79.94	293.00	0.101325	2022	-1	
45928	P 63/m m c	Na0.67 Mn0.7 Ni0.2 Mg0.1 O2	NaxCoO2	Su, Shilin; Bai, Xiaoyu; Ming, Lei; Xiao, Zhiming; Wang, Chunhui; Zhang, Bao; Cheng, Liao; Ou, Xing	2.884(0) 2.884(0) 11.185(5) 90. 90. 120.	80.57	293.00	0.101325	2022	-1	
