CollectionCode	HMS	StructuredFormula	StructureType	Authors	CellParameter	CellVolume	Temperature	Pressure	PublicationYear	Quality	
212840	C 1 2/m 1	Mn1.99 Fe4.21 Si8 O22 (O H)2	NaCa2Mg4FeSi6Al2O22F2-[mcl,C12/m1]	Holtstam, Dan; Cámara, Fernando; Skogby, Henrik; Karlsson, Andreas; De Leo, Alessandro	9.59840(10) 18.3179(2) 5.33450(10) 90 102.1630(10) 90	916.87	298.00	0.101325	2025	10	
213768	P 1 21/n 1	Nd Sm Ni Mn O6	Na3AlF6	Attah-Baah, John M.; Silva, Romualdo S.; Santos, Cledson; Carvalho, Maria H.; Ferreira, Nilson S.	5.3779(3) 5.4849(2) 7.63667(2) 90. 89.8412(3) 90.	225.26	293.00	0.101325	2025	10	
213903	P 1 21/n 1	Pr Ba Mn Mo O6		Afroze, Shammya; Torino, Nico; Reza, Md. Sumon; Radenahmad, Nikdalila; Cheok, Quentin; Henry, Paul F.; Azad, Abul K.	5.65679(1) 5.62133(2) 7.94766(2) 90. 84.43000 90.	251.53	293.00	0.101325	2021	10	
218827	P 1 21/c 1	Tl2 Mn3 (As2 O7)2 (H2 O)2		Stock, N.; Stucky, G.D.; Cheetham, A.K.	9.576(7) 8.478(6) 9.735(7) 90.00 99.117(13) 90.00	780.35	293.00	0.101325	2001	10	
230066	P 1 21/c 1	Cu1.83 Mn0.40 Fe0.77 B O5	Mg2FeBO5	Moshkina, E.M.; Platunov, M.S.; Seryotkin, Yu.V.; Bovina, A.F.; Eremin, E.V.; Sofronova, S.N.; Bezmaternykh, L.N.	3.13323(5) 12.02639(18) 9.48739(15) 90.00 97.4539(14) 90.00	354.47	293.00	0.101325	2018	10	
230067	P 1 21/c 1	Cu1.88 Mn0.74 Fe0.38 B O5	Mg2FeBO5	Moshkina, E.M.; Platunov, M.S.; Seryotkin, Yu.V.; Bovina, A.F.; Eremin, E.V.; Sofronova, S.N.; Bezmaternykh, L.N.	3.14434(7) 12.0255(2) 9.46837(19) 90.00 97.530(2) 90.00	354.92	293.00	0.101325	2018	10	
230425	C 1 2/c 1	(Li0.96 Mn0.04) Mg (B O3)	LiCo(BO3)	Wu, Liwei; Bai, Yuxing; Wu, Li; Yi, Huan; Zhang, Xinzheng; Zhang, Lixin; Kong, Yongfa; Zhang, Yi; Xu, Jingjun	5.1576(1) 8.8849(1) 9.9280(1) 90. 91.2568(7) 90.	454.84	293.00	0.101325	2018	10	
230846	P 21/n 1 1	Y Sr0.5 Ca1.5 Mn2 O7		Zhang, Ronghuan; Gibbs, Alexandra S.; Zhang, Weiguo; Halasyamani, P.Shiv; Hayward, Michael A.	5.4243(1) 5.4289(1) 19.0418(3) 90.007(5) 90. 90.	560.74	298.00	0.101325	2017	10	
236909	P 1 21/n 1	Sr La Mn Mo O6	Ba2LaRuO6(mcl)	Caspi, El'ad N.; Jorgensen, James D.; Lobanov, Maxim V.; Greenblatt, Martha	5.66374(7) 5.70049(7) 8.0199(1) 90 89.981(4) 90	258.93	295.00	0.101325	2003	10	
237775	P 1 21/c 1	(N H3 O H)2 Mn F4	(NH3OH)2CuF4	Kristl, Matjaz; Dojer, Brina; Hojnik, Nusa; Golobic, Amalija	8.2923(5) 5.9646(3) 5.7198(3) 90.00 94.148(5) 90.00	282.16	293.00	0.101325	2014	10	
237940	C 1 2/m 1	Li1.2 Co0.1 Mn0.556 Ni0.13 O2	Li2MnO3	Mohanty, Debasish; Huq, Ashfia; Payzant, E.Andrew; Sefat, Athena S.; Li, Jianlin; Abraham, Daniel P.; Wood, David L.; Daniel, Claus	4.9456(19) 8.5618(15) 5.0314(13) 90 109.2908(12) 90	201.08	293.00	0.101325	2013	10	
238836	P 1 21/n 1	Sr La Mn Re O6	Ba2LaRuO6(mcl)	Thompson, Corey M.; Chi, Lisheng; Hayes, John R.; Hallas, Alannah M.; Wilson, Murray N.; Munsie, Timothy J.S.; Swainson, Ian P.; Grosvenor, Andrew P.; Luke, Graeme M.; Greedan, John E.	5.6462(2) 5.6628(2) 7.9845(3) 90 89.97(1) 90	255.29	293.00	0.101325	2015	10	
239567	C 1 2/c 1	Ag2 Mn2 Fe (V O4)3	NaCu4(AsO4)3	Ben Yahia, Hamdi; Shikano, Masahiro; Tabuchi, Mitsuharu; Belharouak, Ilias	12.0028(13) 12.9761(14) 6.8355(7) 90 111.665(2) 90	989.41	293.00	0.101325	2016	10	
239569	C 1 2/c 1	Na2 Mn2 Fe (V O4)3	NaCu4(AsO4)3	Ben Yahia, Hamdi; Shikano, Masahiro; Tabuchi, Mitsuharu; Belharouak, Ilias	12.0067(19) 12.9563(18) 6.8446(11) 90 111.793(3) 90	988.66	293.00	0.101325	2016	10	
239628	P 1 21/m 1	Pb2 Mn (V O4)2 (O H)	MnPb2(VO4)2(OH)	Zhang, Suyun; Xiang, Hongping; Guo, Wenbin; Tang, Yingying; Cui, Meiyan; He, Zhangzhen	7.672(7) 6.168(5) 8.781(9) 90.00 111.232(14) 90.00	387.31	293.00	0.101325	2016	10	
